Day,Month,Year,origDistrictAddress,gglCountry,Type,DisasterID,TotAffected,gglAddress
7,3,2004,Atsimo-Andrefana,Madagascar,Storm,2004-0103-MDG,185558,"Toliara, Madagascar"
7,3,2004,Atsinanana,Madagascar,Storm,2004-0103-MDG,153101,"Toamasina, Madagascar"
7,3,2004,Boeny,Madagascar,Storm,2004-0103-MDG,96041,"Mahajanga, Madagascar"
7,3,2004,Diana,Madagascar,Storm,2004-0103-MDG,91767,"Antsiranana, Madagascar"
7,3,2004,Menabe,Madagascar,Storm,2004-0103-MDG,72258,"Morondava, Madagascar"
7,3,2004,Sava,Madagascar,Storm,2004-0103-MDG,115828,"Sambava, Madagascar"
7,3,2004,Sofia,Madagascar,Storm,2004-0103-MDG,154733,"Antsohihy, Madagascar"
7,2,2015,Androy,Madagascar,Storm,2015-0074-MDG,1808,"Ambovombe-Androy, Madagascar"
7,2,2015,Anosy,Madagascar,Storm,2015-0074-MDG,1620,"Taolagnaro, Madagascar"
7,2,2015,Atsimo-Andrefana,Madagascar,Storm,2015-0074-MDG,3600,"Toliara, Madagascar"
7,2,2015,Menabe,Madagascar,Storm,2015-0074-MDG,1402,"Morondava, Madagascar"
7,3,2017,Alaotra-Mangoro,Madagascar,Storm,2017-0075-MDG,31844,"Ambatondrazaka, Madagascar"
7,3,2017,Amoron'i Mania,Madagascar,Storm,2017-0075-MDG,21151,"Fenoarivo Atsinanana, Madagascar"
7,3,2017,Analamanga,Madagascar,Storm,2017-0075-MDG,91767,"Antananarivo, Madagascar"
7,3,2017,Analanjirofo,Madagascar,Storm,2017-0075-MDG,29227,"Fenoarivo Atsinanana, Madagascar"
7,3,2017,Atsinanana,Madagascar,Storm,2017-0075-MDG,37649,"Toamasina, Madagascar"
7,3,2017,Bongolava,Madagascar,Storm,2017-0075-MDG,17107,"Tsiroanomandidy, Madagascar"
7,3,2017,Haute Matsiatra,Madagascar,Storm,2017-0075-MDG,36708,"Fianarantsoa, Madagascar"
7,3,2017,Ihorombe,Madagascar,Storm,2017-0075-MDG,10615,"Ihosy, Madagascar"
7,3,2017,Itasy,Madagascar,Storm,2017-0075-MDG,22775,"Miarinarivo, Madagascar"
7,3,2017,Sava,Madagascar,Storm,2017-0075-MDG,28483,"Sambava, Madagascar"
7,3,2017,Vakinankaratra,Madagascar,Storm,2017-0075-MDG,52612,"Antsirabe, Madagascar"
7,3,2017,Vatovavy,Madagascar,Storm,2017-0075-MDG,17898,"Mananjary, Madagascar"
7,3,2017,Vatovavy-Fitovinany,Madagascar,Storm,2017-0075-MDG,36418,"Manakara, Madagascar"
8,5,2003,Atsinanana,Madagascar,Storm,2003-0218-MDG,162086,"Toamasina, Madagascar"
8,2,2007,Analamanga,Madagascar,Flood,2007-0069-MDG,33000,"Antananarivo, Madagascar"
9,4,1984,Boeny,Madagascar,Storm,1984-0034-MDG,51248,"Mahajanga, Madagascar"
9,4,1984,Diana,Madagascar,Storm,1984-0034-MDG,48967,"Antsiranana, Madagascar"
9,5,2002,Analanjirofo,Madagascar,Storm,2002-0281-MDG,130415,"Fenoarivo Atsinanana, Madagascar"
9,5,2002,Atsinanana,Madagascar,Storm,2002-0281-MDG,167995,"Toamasina, Madagascar"
9,5,2002,Diana,Madagascar,Storm,2002-0281-MDG,100695,"Antsiranana, Madagascar"
9,5,2002,Sava,Madagascar,Storm,2002-0281-MDG,127095,"Sambava, Madagascar"
9,12,2003,Diana,Madagascar,Storm,2003-0602-MDG,72,"Antsiranana, Madagascar"
9,12,2003,Sava,Madagascar,Storm,2003-0602-MDG,92,"Sambava, Madagascar"
9,12,2019,Boeny,Madagascar,Storm,2019-0601-MDG,6674,"Mahajanga, Madagascar"
9,12,2019,Diana,Madagascar,Storm,2019-0601-MDG,6377,"Antsiranana, Madagascar"
9,12,2019,Melaky,Madagascar,Storm,2019-0601-MDG,2220,"Maintirano, Madagascar"
9,12,2019,Menabe,Madagascar,Storm,2019-0601-MDG,5021,"Morondava, Madagascar"
10,12,1983,Alaotra-Mangoro,Madagascar,Storm,1983-0157-MDG,645,"Ambatondrazaka, Madagascar"
10,12,1983,Amoron'i Mania,Madagascar,Storm,1983-0157-MDG,429,"Fenoarivo Atsinanana, Madagascar"
10,12,1983,Analamanga,Madagascar,Storm,1983-0157-MDG,1859,"Antananarivo, Madagascar"
10,12,1983,Analanjirofo,Madagascar,Storm,1983-0157-MDG,592,"Fenoarivo Atsinanana, Madagascar"
10,12,1983,Androy,Madagascar,Storm,1983-0157-MDG,464,"Ambovombe-Androy, Madagascar"
10,12,1983,Anosy,Madagascar,Storm,1983-0157-MDG,416,"Taolagnaro, Madagascar"
10,12,1983,Atsimo-Andrefana,Madagascar,Storm,1983-0157-MDG,925,"Toliara, Madagascar"
10,12,1983,Atsimo-Atsinanana,Madagascar,Storm,1983-0157-MDG,528,"Farafangana, Madagascar"
10,12,1983,Atsinanana,Madagascar,Storm,1983-0157-MDG,763,"Toamasina, Madagascar"
10,12,1983,Betsiboka,Madagascar,Storm,1983-0157-MDG,203,"Maevatanana, Madagascar"
10,12,1983,Boeny,Madagascar,Storm,1983-0157-MDG,479,"Mahajanga, Madagascar"
10,12,1983,Bongolava,Madagascar,Storm,1983-0157-MDG,347,"Tsiroanomandidy, Madagascar"
10,12,1983,Diana,Madagascar,Storm,1983-0157-MDG,457,"Antsiranana, Madagascar"
10,12,1983,Haute Matsiatra,Madagascar,Storm,1983-0157-MDG,744,"Fianarantsoa, Madagascar"
10,12,1983,Ihorombe,Madagascar,Storm,1983-0157-MDG,215,"Ihosy, Madagascar"
10,12,1983,Itasy,Madagascar,Storm,1983-0157-MDG,461,"Miarinarivo, Madagascar"
10,12,1983,Melaky,Madagascar,Storm,1983-0157-MDG,159,"Maintirano, Madagascar"
10,12,1983,Menabe,Madagascar,Storm,1983-0157-MDG,360,"Morondava, Madagascar"
10,12,1983,Sava,Madagascar,Storm,1983-0157-MDG,577,"Sambava, Madagascar"
10,12,1983,Sofia,Madagascar,Storm,1983-0157-MDG,771,"Antsohihy, Madagascar"
10,12,1983,Vakinankaratra,Madagascar,Storm,1983-0157-MDG,1066,"Antsirabe, Madagascar"
10,12,1983,Vatovavy,Madagascar,Storm,1983-0157-MDG,363,"Mananjary, Madagascar"
10,12,1983,Vatovavy-Fitovinany,Madagascar,Storm,1983-0157-MDG,738,"Manakara, Madagascar"
10,1,1996,Analanjirofo,Madagascar,Storm,1996-0060-MDG,43703,"Fenoarivo Atsinanana, Madagascar"
10,1,1996,Atsinanana,Madagascar,Storm,1996-0060-MDG,56297,"Toamasina, Madagascar"
10,3,2010,Alaotra-Mangoro,Madagascar,Storm,2010-0104-MDG,54529,"Ambatondrazaka, Madagascar"
10,3,2010,Atsimo-Atsinanana,Madagascar,Storm,2010-0104-MDG,44590,"Farafangana, Madagascar"
10,3,2010,Vatovavy,Madagascar,Storm,2010-0104-MDG,30649,"Mananjary, Madagascar"
10,3,2010,Vatovavy-Fitovinany,Madagascar,Storm,2010-0104-MDG,62363,"Manakara, Madagascar"
13,1,1994,Alaotra-Mangoro,Madagascar,Storm,1994-0009-MDG,79907,"Ambatondrazaka, Madagascar"
13,1,1994,Amoron'i Mania,Madagascar,Storm,1994-0009-MDG,106149,"Fenoarivo Atsinanana, Madagascar"
13,1,1994,Androy,Madagascar,Storm,1994-0009-MDG,57495,"Ambovombe-Androy, Madagascar"
13,1,1994,Atsimo-Andrefana,Madagascar,Storm,1994-0009-MDG,114503,"Toliara, Madagascar"
13,1,1994,Atsinanana,Madagascar,Storm,1994-0009-MDG,94474,"Toamasina, Madagascar"
13,1,1994,Bongolava,Madagascar,Storm,1994-0009-MDG,42927,"Tsiroanomandidy, Madagascar"
13,1,1994,Menabe,Madagascar,Storm,1994-0009-MDG,44588,"Morondava, Madagascar"
13,3,2020,Analanjirofo,Madagascar,Storm,2020-0103-MDG,1621,"Fenoarivo Atsinanana, Madagascar"
13,3,2020,Sava,Madagascar,Storm,2020-0103-MDG,1579,"Sambava, Madagascar"
14,2,2011,Analamanga,Madagascar,Storm,2011-0057-MDG,25861,"Antananarivo, Madagascar"
14,2,2011,Analanjirofo,Madagascar,Storm,2011-0057-MDG,8237,"Fenoarivo Atsinanana, Madagascar"
14,2,2011,Androy,Madagascar,Storm,2011-0057-MDG,6457,"Ambovombe-Androy, Madagascar"
14,2,2011,Anosy,Madagascar,Storm,2011-0057-MDG,5785,"Taolagnaro, Madagascar"
14,2,2011,Atsimo-Atsinanana,Madagascar,Storm,2011-0057-MDG,7338,"Farafangana, Madagascar"
14,2,2011,Atsinanana,Madagascar,Storm,2011-0057-MDG,10610,"Toamasina, Madagascar"
14,2,2011,Boeny,Madagascar,Storm,2011-0057-MDG,6656,"Mahajanga, Madagascar"
14,2,2011,Ihorombe,Madagascar,Storm,2011-0057-MDG,2991,"Ihosy, Madagascar"
14,2,2011,Melaky,Madagascar,Storm,2011-0057-MDG,2214,"Maintirano, Madagascar"
14,2,2011,Menabe,Madagascar,Storm,2011-0057-MDG,5008,"Morondava, Madagascar"
14,2,2011,Sava,Madagascar,Storm,2011-0057-MDG,8027,"Sambava, Madagascar"
14,2,2011,Sofia,Madagascar,Storm,2011-0057-MDG,10723,"Antsohihy, Madagascar"
14,2,2011,Vatovavy,Madagascar,Storm,2011-0057-MDG,5044,"Mananjary, Madagascar"
14,2,2011,Vatovavy-Fitovinany,Madagascar,Storm,2011-0057-MDG,10263,"Manakara, Madagascar"
14,2,2012,Alaotra-Mangoro,Madagascar,Storm,2012-0043-MDG,39988,"Ambatondrazaka, Madagascar"
14,2,2012,Analamanga,Madagascar,Storm,2012-0043-MDG,115236,"Antananarivo, Madagascar"
14,2,2012,Atsinanana,Madagascar,Storm,2012-0043-MDG,47278,"Toamasina, Madagascar"
14,2,2012,Sofia,Madagascar,Storm,2012-0043-MDG,47782,"Antsohihy, Madagascar"
14,3,2018,Alaotra-Mangoro,Madagascar,Storm,2018-0086-MDG,7922,"Ambatondrazaka, Madagascar"
14,3,2018,Analanjirofo,Madagascar,Storm,2018-0086-MDG,7271,"Fenoarivo Atsinanana, Madagascar"
14,3,2018,Diana,Madagascar,Storm,2018-0086-MDG,5614,"Antsiranana, Madagascar"
14,3,2018,Sava,Madagascar,Storm,2018-0086-MDG,7086,"Sambava, Madagascar"
14,3,2018,Sofia,Madagascar,Storm,2018-0086-MDG,9466,"Antsohihy, Madagascar"
14,3,2018,Vatovavy,Madagascar,Storm,2018-0086-MDG,4453,"Mananjary, Madagascar"
14,3,2018,Vatovavy-Fitovinany,Madagascar,Storm,2018-0086-MDG,9060,"Manakara, Madagascar"
15,3,1986,Alaotra-Mangoro,Madagascar,Storm,1986-0042-MDG,19824,"Ambatondrazaka, Madagascar"
15,3,1986,Analanjirofo,Madagascar,Storm,1986-0042-MDG,18195,"Fenoarivo Atsinanana, Madagascar"
15,3,1986,Atsinanana,Madagascar,Storm,1986-0042-MDG,23438,"Toamasina, Madagascar"
15,3,1986,Haute Matsiatra,Madagascar,Storm,1986-0042-MDG,22852,"Fianarantsoa, Madagascar"
15,3,2007,Analanjirofo,Madagascar,Storm,2007-0095-MDG,53154,"Fenoarivo Atsinanana, Madagascar"
15,3,2007,Diana,Madagascar,Storm,2007-0095-MDG,41041,"Antsiranana, Madagascar"
15,3,2007,Sava,Madagascar,Storm,2007-0095-MDG,51801,"Sambava, Madagascar"
15,3,2007,Sofia,Madagascar,Storm,2007-0095-MDG,69201,"Antsohihy, Madagascar"
15,3,2019,Melaky,Madagascar,Storm,2019-0110-MDG,1100,"Maintirano, Madagascar"
16,2,1991,Atsimo-Andrefana,Madagascar,Storm,1991-0344-MDG,164736,"Toliara, Madagascar"
16,2,1991,Boeny,Madagascar,Storm,1991-0344-MDG,85264,"Mahajanga, Madagascar"
16,1,2015,Alaotra-Mangoro,Madagascar,Storm,2015-0016-MDG,11685,"Ambatondrazaka, Madagascar"
16,1,2015,Amoron'i Mania,Madagascar,Storm,2015-0016-MDG,7761,"Fenoarivo Atsinanana, Madagascar"
16,1,2015,Analamanga,Madagascar,Storm,2015-0016-MDG,33675,"Antananarivo, Madagascar"
16,1,2015,Atsimo-Atsinanana,Madagascar,Storm,2015-0016-MDG,9555,"Farafangana, Madagascar"
16,1,2015,Betsiboka,Madagascar,Storm,2015-0016-MDG,3672,"Maevatanana, Madagascar"
16,1,2015,Boeny,Madagascar,Storm,2015-0016-MDG,8667,"Mahajanga, Madagascar"
16,1,2015,Bongolava,Madagascar,Storm,2015-0016-MDG,6277,"Tsiroanomandidy, Madagascar"
16,1,2015,Diana,Madagascar,Storm,2015-0016-MDG,8281,"Antsiranana, Madagascar"
16,1,2015,Haute Matsiatra,Madagascar,Storm,2015-0016-MDG,13470,"Fianarantsoa, Madagascar"
16,1,2015,Itasy,Madagascar,Storm,2015-0016-MDG,8358,"Miarinarivo, Madagascar"
16,1,2015,Melaky,Madagascar,Storm,2015-0016-MDG,2883,"Maintirano, Madagascar"
16,1,2015,Menabe,Madagascar,Storm,2015-0016-MDG,6520,"Morondava, Madagascar"
16,1,2015,Sofia,Madagascar,Storm,2015-0016-MDG,13963,"Antsohihy, Madagascar"
16,1,2015,Vakinankaratra,Madagascar,Storm,2015-0016-MDG,19306,"Antsirabe, Madagascar"
16,1,2015,Vatovavy,Madagascar,Storm,2015-0016-MDG,6568,"Mananjary, Madagascar"
16,1,2015,Vatovavy-Fitovinany,Madagascar,Storm,2015-0016-MDG,13364,"Manakara, Madagascar"
17,2,2000,Amoron'i Mania,Madagascar,Storm,2000-0107-MDG,48065,"Fenoarivo Atsinanana, Madagascar"
17,2,2000,Analamanga,Madagascar,Storm,2000-0107-MDG,208538,"Antananarivo, Madagascar"
17,2,2000,Analanjirofo,Madagascar,Storm,2000-0107-MDG,66418,"Fenoarivo Atsinanana, Madagascar"
17,2,2000,Atsimo-Andrefana,Madagascar,Storm,2000-0107-MDG,103694,"Toliara, Madagascar"
17,2,2000,Atsinanana,Madagascar,Storm,2000-0107-MDG,85557,"Toamasina, Madagascar"
17,2,2000,Menabe,Madagascar,Storm,2000-0107-MDG,40379,"Morondava, Madagascar"
17,2,2000,Sava,Madagascar,Storm,2000-0107-MDG,64727,"Sambava, Madagascar"
17,2,2000,Vakinankaratra,Madagascar,Storm,2000-0107-MDG,119560,"Antsirabe, Madagascar"
17,2,2008,Alaotra-Mangoro,Madagascar,Storm,2008-0070-MDG,40307,"Ambatondrazaka, Madagascar"
17,2,2008,Analamanga,Madagascar,Storm,2008-0070-MDG,116155,"Antananarivo, Madagascar"
17,2,2008,Analanjirofo,Madagascar,Storm,2008-0070-MDG,36994,"Fenoarivo Atsinanana, Madagascar"
17,2,2008,Atsimo-Atsinanana,Madagascar,Storm,2008-0070-MDG,32960,"Farafangana, Madagascar"
17,2,2008,Atsinanana,Madagascar,Storm,2008-0070-MDG,47655,"Toamasina, Madagascar"
17,2,2008,Betsiboka,Madagascar,Storm,2008-0070-MDG,12667,"Maevatanana, Madagascar"
17,2,2008,Boeny,Madagascar,Storm,2008-0070-MDG,29894,"Mahajanga, Madagascar"
17,2,2008,Bongolava,Madagascar,Storm,2008-0070-MDG,21653,"Tsiroanomandidy, Madagascar"
17,2,2008,Haute Matsiatra,Madagascar,Storm,2008-0070-MDG,46463,"Fianarantsoa, Madagascar"
17,2,2008,Menabe,Madagascar,Storm,2008-0070-MDG,22491,"Morondava, Madagascar"
17,2,2008,Sofia,Madagascar,Storm,2008-0070-MDG,48163,"Antsohihy, Madagascar"
17,2,2008,Vatovavy,Madagascar,Storm,2008-0070-MDG,22655,"Mananjary, Madagascar"
17,2,2008,Vatovavy-Fitovinany,Madagascar,Storm,2008-0070-MDG,46097,"Manakara, Madagascar"
17,3,2009,Androy,Madagascar,Storm,2009-0123-MDG,724,"Ambovombe-Androy, Madagascar"
17,3,2009,Anosy,Madagascar,Storm,2009-0123-MDG,649,"Taolagnaro, Madagascar"
17,3,2009,Atsimo-Andrefana,Madagascar,Storm,2009-0123-MDG,1442,"Toliara, Madagascar"
17,3,2009,Menabe,Madagascar,Storm,2009-0123-MDG,561,"Morondava, Madagascar"
18,1,2003,Analamanga,Madagascar,Flood,2003-0037-MDG,9126,"Antananarivo, Madagascar"
18,1,2003,Atsimo-Atsinanana,Madagascar,Flood,2003-0037-MDG,2590,"Farafangana, Madagascar"
18,1,2003,Atsinanana,Madagascar,Flood,2003-0037-MDG,3744,"Toamasina, Madagascar"
18,1,2003,Betsiboka,Madagascar,Flood,2003-0037-MDG,995,"Maevatanana, Madagascar"
18,1,2003,Boeny,Madagascar,Flood,2003-0037-MDG,2349,"Mahajanga, Madagascar"
18,1,2003,Melaky,Madagascar,Flood,2003-0037-MDG,781,"Maintirano, Madagascar"
18,1,2003,Sofia,Madagascar,Flood,2003-0037-MDG,3784,"Antsohihy, Madagascar"
18,2,2021,Alaotra-Mangoro,Madagascar,Flood,2021-0090-MDG,299,"Ambatondrazaka, Madagascar"
18,2,2021,Analamanga,Madagascar,Flood,2021-0090-MDG,861,"Antananarivo, Madagascar"
18,2,2021,Melaky,Madagascar,Flood,2021-0090-MDG,74,"Maintirano, Madagascar"
18,2,2021,Menabe,Madagascar,Flood,2021-0090-MDG,167,"Morondava, Madagascar"
19,1,2009,Amoron'i Mania,Madagascar,Storm,2009-0047-MDG,7672,"Fenoarivo Atsinanana, Madagascar"
19,1,2009,Analanjirofo,Madagascar,Storm,2009-0047-MDG,10601,"Fenoarivo Atsinanana, Madagascar"
19,1,2009,Atsinanana,Madagascar,Storm,2009-0047-MDG,13656,"Toamasina, Madagascar"
19,1,2009,Menabe,Madagascar,Storm,2009-0047-MDG,6445,"Morondava, Madagascar"
19,1,2009,Sava,Madagascar,Storm,2009-0047-MDG,10331,"Sambava, Madagascar"
19,1,2009,Sofia,Madagascar,Storm,2009-0047-MDG,13801,"Antsohihy, Madagascar"
19,8,2017,Alaotra-Mangoro,Madagascar,Epidemic,2017-0411-MDG,203,"Ambatondrazaka, Madagascar"
19,8,2017,Amoron'i Mania,Madagascar,Epidemic,2017-0411-MDG,135,"Fenoarivo Atsinanana, Madagascar"
19,8,2017,Analamanga,Madagascar,Epidemic,2017-0411-MDG,585,"Antananarivo, Madagascar"
19,8,2017,Atsinanana,Madagascar,Epidemic,2017-0411-MDG,240,"Toamasina, Madagascar"
19,8,2017,Betsiboka,Madagascar,Epidemic,2017-0411-MDG,64,"Maevatanana, Madagascar"
19,8,2017,Boeny,Madagascar,Epidemic,2017-0411-MDG,151,"Mahajanga, Madagascar"
19,8,2017,Bongolava,Madagascar,Epidemic,2017-0411-MDG,109,"Tsiroanomandidy, Madagascar"
19,8,2017,Haute Matsiatra,Madagascar,Epidemic,2017-0411-MDG,234,"Fianarantsoa, Madagascar"
19,8,2017,Itasy,Madagascar,Epidemic,2017-0411-MDG,145,"Miarinarivo, Madagascar"
19,8,2017,Sava,Madagascar,Epidemic,2017-0411-MDG,182,"Sambava, Madagascar"
19,8,2017,Vakinankaratra,Madagascar,Epidemic,2017-0411-MDG,336,"Antsirabe, Madagascar"
20,12,1981,Diana,Madagascar,Storm,1981-0110-MDG,118000,"Antsiranana, Madagascar"
22,1,2005,Androy,Madagascar,Storm,2005-0048-MDG,2669,"Ambovombe-Androy, Madagascar"
22,1,2005,Atsimo-Andrefana,Madagascar,Storm,2005-0048-MDG,5316,"Toliara, Madagascar"
22,2,2013,Analamanga,Madagascar,Storm,2013-0032-MDG,23823,"Antananarivo, Madagascar"
22,2,2013,Atsimo-Andrefana,Madagascar,Storm,2013-0032-MDG,11846,"Toliara, Madagascar"
22,2,2013,Menabe,Madagascar,Storm,2013-0032-MDG,4613,"Morondava, Madagascar"
23,1,2021,Analanjirofo,Madagascar,Storm,2021-0036-MDG,306,"Fenoarivo Atsinanana, Madagascar"
23,1,2021,Atsinanana,Madagascar,Storm,2021-0036-MDG,395,"Toamasina, Madagascar"
23,1,2021,Sava,Madagascar,Storm,2021-0036-MDG,299,"Sambava, Madagascar"
24,1,1997,Atsimo-Atsinanana,Madagascar,Storm,1997-0013-MDG,250148,"Farafangana, Madagascar"
24,1,1997,Vatovavy-Fitovinany,Madagascar,Storm,1997-0013-MDG,349852,"Manakara, Madagascar"
24,1,2012,Atsimo-Andrefana,Madagascar,Storm,2012-0005-MDG,192,"Toliara, Madagascar"
24,1,2012,Melaky,Madagascar,Storm,2012-0005-MDG,33,"Maintirano, Madagascar"
24,1,2012,Menabe,Madagascar,Storm,2012-0005-MDG,75,"Morondava, Madagascar"
24,3,1999,Analamanga,Madagascar,Epidemic,1999-0490-MDG,5398,"Antananarivo, Madagascar"
24,3,1999,Atsimo-Andrefana,Madagascar,Epidemic,1999-0490-MDG,2684,"Toliara, Madagascar"
24,3,1999,Atsinanana,Madagascar,Epidemic,1999-0490-MDG,2215,"Toamasina, Madagascar"
24,3,1999,Boeny,Madagascar,Epidemic,1999-0490-MDG,1389,"Mahajanga, Madagascar"
24,3,1999,Diana,Madagascar,Epidemic,1999-0490-MDG,1327,"Antsiranana, Madagascar"
24,3,1999,Haute Matsiatra,Madagascar,Epidemic,1999-0490-MDG,2159,"Fianarantsoa, Madagascar"
