station,datetime,start_forecast,end_forecast
1 Ave & E 68 St,2022-08-01 19:00:00,32.0,19.0
1 Ave & E 68 St,2022-08-01 20:00:00,21.0,17.0
1 Ave & E 68 St,2022-08-01 21:00:00,16.0,15.0
1 Ave & E 68 St,2022-08-01 22:00:00,10.0,12.0
1 Ave & E 68 St,2022-08-01 23:00:00,6.0,10.0
1 Ave & E 68 St,2022-08-02 00:00:00,4.0,6.0
1 Ave & E 68 St,2022-08-02 01:00:00,4.0,3.0
1 Ave & E 68 St,2022-08-02 02:00:00,4.0,3.0
1 Ave & E 68 St,2022-08-02 03:00:00,3.0,2.0
1 Ave & E 68 St,2022-08-02 04:00:00,1.0,3.0
1 Ave & E 68 St,2022-08-02 05:00:00,2.0,5.0
1 Ave & E 68 St,2022-08-02 06:00:00,7.0,20.0
1 Ave & E 68 St,2022-08-02 07:00:00,28.0,48.0
1 Ave & E 68 St,2022-08-02 08:00:00,33.0,53.0
1 Ave & E 68 St,2022-08-02 09:00:00,31.0,54.0
1 Ave & E 68 St,2022-08-02 10:00:00,29.0,41.0
1 Ave & E 68 St,2022-08-02 11:00:00,17.0,23.0
1 Ave & E 68 St,2022-08-02 12:00:00,19.0,14.0
1 Ave & E 68 St,2022-08-02 13:00:00,16.0,14.0
1 Ave & E 68 St,2022-08-02 14:00:00,15.0,12.0
1 Ave & E 68 St,2022-08-02 15:00:00,23.0,15.0
1 Ave & E 68 St,2022-08-02 16:00:00,30.0,21.0
1 Ave & E 68 St,2022-08-02 17:00:00,51.0,22.0
1 Ave & E 68 St,2022-08-02 18:00:00,60.0,24.0
1 Ave & E 68 St,2022-08-02 19:00:00,34.0,21.0
1 Ave & E 68 St,2022-08-02 20:00:00,20.0,18.0
1 Ave & E 68 St,2022-08-02 21:00:00,13.0,14.0
1 Ave & E 68 St,2022-08-02 22:00:00,6.0,10.0
1 Ave & E 68 St,2022-08-02 23:00:00,6.0,9.0
1 Ave & E 68 St,2022-08-03 00:00:00,3.0,5.0
1 Ave & E 68 St,2022-08-03 01:00:00,4.0,5.0
1 Ave & E 68 St,2022-08-03 02:00:00,5.0,2.0
1 Ave & E 68 St,2022-08-03 03:00:00,3.0,2.0
1 Ave & E 68 St,2022-08-03 04:00:00,0.0,2.0
1 Ave & E 68 St,2022-08-03 05:00:00,1.0,3.0
1 Ave & E 68 St,2022-08-03 06:00:00,6.0,15.0
1 Ave & E 68 St,2022-08-03 07:00:00,20.0,43.0
1 Ave & E 68 St,2022-08-03 08:00:00,38.0,56.0
1 Ave & E 68 St,2022-08-03 09:00:00,40.0,58.0
1 Ave & E 68 St,2022-08-03 10:00:00,24.0,37.0
1 Ave & E 68 St,2022-08-03 11:00:00,16.0,21.0
1 Ave & E 68 St,2022-08-03 12:00:00,13.0,14.0
1 Ave & E 68 St,2022-08-03 13:00:00,19.0,12.0
1 Ave & E 68 St,2022-08-03 14:00:00,15.0,14.0
1 Ave & E 68 St,2022-08-03 15:00:00,20.0,10.0
1 Ave & E 68 St,2022-08-03 16:00:00,23.0,19.0
1 Ave & E 68 St,2022-08-03 17:00:00,44.0,21.0
1 Ave & E 68 St,2022-08-03 18:00:00,48.0,22.0
1 Ave & E 68 St,2022-08-03 19:00:00,38.0,22.0
1 Ave & E 68 St,2022-08-03 20:00:00,23.0,19.0
1 Ave & E 68 St,2022-08-03 21:00:00,13.0,12.0
1 Ave & E 68 St,2022-08-03 22:00:00,9.0,12.0
1 Ave & E 68 St,2022-08-03 23:00:00,5.0,7.0
1 Ave & E 68 St,2022-08-04 00:00:00,6.0,5.0
1 Ave & E 68 St,2022-08-04 01:00:00,3.0,2.0
1 Ave & E 68 St,2022-08-04 02:00:00,4.0,1.0
1 Ave & E 68 St,2022-08-04 03:00:00,3.0,2.0
1 Ave & E 68 St,2022-08-04 04:00:00,1.0,2.0
1 Ave & E 68 St,2022-08-04 05:00:00,0.0,3.0
1 Ave & E 68 St,2022-08-04 06:00:00,3.0,14.0
1 Ave & E 68 St,2022-08-04 07:00:00,20.0,50.0
1 Ave & E 68 St,2022-08-04 08:00:00,36.0,53.0
1 Ave & E 68 St,2022-08-04 09:00:00,32.0,55.0
1 Ave & E 68 St,2022-08-04 10:00:00,24.0,39.0
1 Ave & E 68 St,2022-08-04 11:00:00,18.0,19.0
1 Ave & E 68 St,2022-08-04 12:00:00,13.0,13.0
1 Ave & E 68 St,2022-08-04 13:00:00,17.0,13.0
1 Ave & E 68 St,2022-08-04 14:00:00,12.0,9.0
1 Ave & E 68 St,2022-08-04 15:00:00,16.0,7.0
1 Ave & E 68 St,2022-08-04 16:00:00,27.0,18.0
1 Ave & E 68 St,2022-08-04 17:00:00,45.0,23.0
1 Ave & E 68 St,2022-08-04 18:00:00,47.0,28.0
1 Ave & E 68 St,2022-08-04 19:00:00,43.0,22.0
1 Ave & E 68 St,2022-08-04 20:00:00,26.0,19.0
1 Ave & E 68 St,2022-08-04 21:00:00,13.0,15.0
1 Ave & E 68 St,2022-08-04 22:00:00,8.0,12.0
1 Ave & E 68 St,2022-08-04 23:00:00,7.0,11.0
1 Ave & E 68 St,2022-08-05 00:00:00,6.0,8.0
1 Ave & E 68 St,2022-08-05 01:00:00,8.0,8.0
1 Ave & E 68 St,2022-08-05 02:00:00,7.0,7.0
1 Ave & E 68 St,2022-08-05 03:00:00,4.0,4.0
1 Ave & E 68 St,2022-08-05 04:00:00,2.0,3.0
1 Ave & E 68 St,2022-08-05 05:00:00,1.0,3.0
1 Ave & E 68 St,2022-08-05 06:00:00,6.0,15.0
1 Ave & E 68 St,2022-08-05 07:00:00,18.0,40.0
1 Ave & E 68 St,2022-08-05 08:00:00,26.0,44.0
1 Ave & E 68 St,2022-08-05 09:00:00,26.0,44.0
1 Ave & E 68 St,2022-08-05 10:00:00,18.0,30.0
1 Ave & E 68 St,2022-08-05 11:00:00,10.0,19.0
1 Ave & E 68 St,2022-08-05 12:00:00,11.0,13.0
1 Ave & E 68 St,2022-08-05 13:00:00,14.0,12.0
1 Ave & E 68 St,2022-08-05 14:00:00,20.0,15.0
1 Ave & E 68 St,2022-08-05 15:00:00,25.0,15.0
1 Ave & E 68 St,2022-08-05 16:00:00,35.0,19.0
1 Ave & E 68 St,2022-08-05 17:00:00,46.0,21.0
1 Ave & E 68 St,2022-08-05 18:00:00,48.0,22.0
1 Ave & E 68 St,2022-08-05 19:00:00,32.0,24.0
1 Ave & E 68 St,2022-08-05 20:00:00,20.0,15.0
1 Ave & E 68 St,2022-08-05 21:00:00,11.0,10.0
1 Ave & E 68 St,2022-08-05 22:00:00,7.0,7.0
1 Ave & E 68 St,2022-08-05 23:00:00,5.0,7.0
1 Ave & E 78 St,2022-08-01 00:00:00,3.0,5.0
1 Ave & E 78 St,2022-08-01 01:00:00,2.0,3.0
1 Ave & E 78 St,2022-08-01 02:00:00,1.0,2.0
1 Ave & E 78 St,2022-08-01 03:00:00,1.0,3.0
1 Ave & E 78 St,2022-08-01 04:00:00,1.0,1.0
1 Ave & E 78 St,2022-08-01 05:00:00,3.0,2.0
1 Ave & E 78 St,2022-08-01 06:00:00,8.0,4.0
1 Ave & E 78 St,2022-08-01 07:00:00,9.0,7.0
1 Ave & E 78 St,2022-08-01 08:00:00,18.0,5.0
1 Ave & E 78 St,2022-08-01 09:00:00,18.0,7.0
1 Ave & E 78 St,2022-08-01 10:00:00,14.0,7.0
1 Ave & E 78 St,2022-08-01 11:00:00,9.0,10.0
1 Ave & E 78 St,2022-08-01 12:00:00,9.0,10.0
1 Ave & E 78 St,2022-08-01 13:00:00,10.0,10.0
1 Ave & E 78 St,2022-08-01 14:00:00,7.0,10.0
1 Ave & E 78 St,2022-08-01 15:00:00,8.0,11.0
1 Ave & E 78 St,2022-08-01 16:00:00,11.0,12.0
1 Ave & E 78 St,2022-08-01 17:00:00,15.0,21.0
1 Ave & E 78 St,2022-08-01 18:00:00,19.0,34.0
1 Ave & E 78 St,2022-08-01 19:00:00,18.0,26.0
1 Ave & E 78 St,2022-08-01 20:00:00,18.0,21.0
1 Ave & E 78 St,2022-08-01 21:00:00,12.0,11.0
1 Ave & E 78 St,2022-08-01 22:00:00,8.0,6.0
1 Ave & E 78 St,2022-08-01 23:00:00,6.0,5.0
1 Ave & E 78 St,2022-08-02 00:00:00,3.0,3.0
1 Ave & E 78 St,2022-08-02 01:00:00,3.0,2.0
1 Ave & E 78 St,2022-08-02 02:00:00,3.0,2.0
1 Ave & E 78 St,2022-08-02 03:00:00,3.0,3.0
1 Ave & E 78 St,2022-08-02 04:00:00,2.0,2.0
1 Ave & E 78 St,2022-08-02 05:00:00,3.0,2.0
1 Ave & E 78 St,2022-08-02 06:00:00,6.0,3.0
1 Ave & E 78 St,2022-08-02 07:00:00,11.0,7.0
1 Ave & E 78 St,2022-08-02 08:00:00,23.0,9.0
1 Ave & E 78 St,2022-08-02 09:00:00,22.0,10.0
1 Ave & E 78 St,2022-08-02 10:00:00,14.0,7.0
1 Ave & E 78 St,2022-08-02 11:00:00,8.0,10.0
1 Ave & E 78 St,2022-08-02 12:00:00,12.0,13.0
1 Ave & E 78 St,2022-08-02 13:00:00,12.0,12.0
1 Ave & E 78 St,2022-08-02 14:00:00,11.0,13.0
1 Ave & E 78 St,2022-08-02 15:00:00,12.0,17.0
1 Ave & E 78 St,2022-08-02 16:00:00,16.0,16.0
1 Ave & E 78 St,2022-08-02 17:00:00,24.0,29.0
1 Ave & E 78 St,2022-08-02 18:00:00,35.0,42.0
1 Ave & E 78 St,2022-08-02 19:00:00,27.0,42.0
1 Ave & E 78 St,2022-08-02 20:00:00,20.0,27.0
1 Ave & E 78 St,2022-08-02 21:00:00,16.0,16.0
1 Ave & E 78 St,2022-08-02 22:00:00,14.0,12.0
1 Ave & E 78 St,2022-08-02 23:00:00,8.0,7.0
1 Ave & E 78 St,2022-08-03 00:00:00,4.0,2.0
1 Ave & E 78 St,2022-08-03 01:00:00,2.0,2.0
1 Ave & E 78 St,2022-08-03 02:00:00,2.0,2.0
1 Ave & E 78 St,2022-08-03 03:00:00,3.0,3.0
1 Ave & E 78 St,2022-08-03 04:00:00,2.0,3.0
1 Ave & E 78 St,2022-08-03 05:00:00,2.0,1.0
1 Ave & E 78 St,2022-08-03 06:00:00,8.0,2.0
1 Ave & E 78 St,2022-08-03 07:00:00,16.0,7.0
1 Ave & E 78 St,2022-08-03 08:00:00,26.0,13.0
1 Ave & E 78 St,2022-08-03 09:00:00,25.0,13.0
1 Ave & E 78 St,2022-08-03 10:00:00,10.0,7.0
1 Ave & E 78 St,2022-08-03 11:00:00,7.0,6.0
1 Ave & E 78 St,2022-08-03 12:00:00,5.0,8.0
1 Ave & E 78 St,2022-08-03 13:00:00,12.0,13.0
1 Ave & E 78 St,2022-08-03 14:00:00,9.0,14.0
1 Ave & E 78 St,2022-08-03 15:00:00,11.0,15.0
1 Ave & E 78 St,2022-08-03 16:00:00,20.0,18.0
1 Ave & E 78 St,2022-08-03 17:00:00,22.0,29.0
1 Ave & E 78 St,2022-08-03 18:00:00,26.0,40.0
1 Ave & E 78 St,2022-08-03 19:00:00,23.0,34.0
1 Ave & E 78 St,2022-08-03 20:00:00,19.0,23.0
1 Ave & E 78 St,2022-08-03 21:00:00,11.0,11.0
1 Ave & E 78 St,2022-08-03 22:00:00,8.0,6.0
1 Ave & E 78 St,2022-08-03 23:00:00,8.0,7.0
1 Ave & E 78 St,2022-08-04 00:00:00,6.0,4.0
1 Ave & E 78 St,2022-08-04 01:00:00,4.0,3.0
1 Ave & E 78 St,2022-08-04 02:00:00,2.0,3.0
1 Ave & E 78 St,2022-08-04 03:00:00,2.0,4.0
1 Ave & E 78 St,2022-08-04 04:00:00,2.0,2.0
1 Ave & E 78 St,2022-08-04 05:00:00,2.0,2.0
1 Ave & E 78 St,2022-08-04 06:00:00,7.0,1.0
1 Ave & E 78 St,2022-08-04 07:00:00,10.0,5.0
1 Ave & E 78 St,2022-08-04 08:00:00,21.0,10.0
1 Ave & E 78 St,2022-08-04 09:00:00,23.0,11.0
1 Ave & E 78 St,2022-08-04 10:00:00,15.0,10.0
1 Ave & E 78 St,2022-08-04 11:00:00,8.0,9.0
1 Ave & E 78 St,2022-08-04 12:00:00,9.0,10.0
1 Ave & E 78 St,2022-08-04 13:00:00,10.0,12.0
1 Ave & E 78 St,2022-08-04 14:00:00,10.0,12.0
1 Ave & E 78 St,2022-08-04 15:00:00,15.0,20.0
1 Ave & E 78 St,2022-08-04 16:00:00,16.0,17.0
1 Ave & E 78 St,2022-08-04 17:00:00,22.0,27.0
1 Ave & E 78 St,2022-08-04 18:00:00,26.0,36.0
1 Ave & E 78 St,2022-08-04 19:00:00,20.0,28.0
1 Ave & E 78 St,2022-08-04 20:00:00,15.0,19.0
1 Ave & E 78 St,2022-08-04 21:00:00,10.0,13.0
1 Ave & E 78 St,2022-08-04 22:00:00,8.0,8.0
1 Ave & E 78 St,2022-08-04 23:00:00,5.0,3.0
1 Ave & E 78 St,2022-08-05 00:00:00,4.0,4.0
1 Ave & E 78 St,2022-08-05 01:00:00,3.0,3.0
1 Ave & E 78 St,2022-08-05 02:00:00,3.0,4.0
1 Ave & E 78 St,2022-08-05 03:00:00,2.0,4.0
1 Ave & E 78 St,2022-08-05 04:00:00,2.0,2.0
1 Ave & E 78 St,2022-08-05 05:00:00,2.0,1.0
1 Ave & E 78 St,2022-08-05 06:00:00,6.0,2.0
1 Ave & E 78 St,2022-08-05 07:00:00,9.0,4.0
1 Ave & E 78 St,2022-08-05 08:00:00,15.0,8.0
1 Ave & E 78 St,2022-08-05 09:00:00,17.0,8.0
1 Ave & E 78 St,2022-08-05 10:00:00,13.0,9.0
1 Ave & E 78 St,2022-08-05 11:00:00,12.0,10.0
1 Ave & E 78 St,2022-08-05 12:00:00,11.0,12.0
1 Ave & E 78 St,2022-08-05 13:00:00,13.0,12.0
1 Ave & E 78 St,2022-08-05 14:00:00,13.0,15.0
1 Ave & E 78 St,2022-08-05 15:00:00,17.0,18.0
1 Ave & E 78 St,2022-08-05 16:00:00,20.0,21.0
1 Ave & E 78 St,2022-08-05 17:00:00,23.0,24.0
1 Ave & E 78 St,2022-08-05 18:00:00,23.0,31.0
1 Ave & E 78 St,2022-08-05 19:00:00,24.0,22.0
1 Ave & E 78 St,2022-08-05 20:00:00,19.0,17.0
1 Ave & E 78 St,2022-08-05 21:00:00,10.0,11.0
1 Ave & E 78 St,2022-08-05 22:00:00,6.0,8.0
1 Ave & E 78 St,2022-08-05 23:00:00,5.0,7.0
10 Ave & W 14 St,2022-08-01 00:00:00,4.0,2.0
10 Ave & W 14 St,2022-08-01 01:00:00,1.0,1.0
10 Ave & W 14 St,2022-08-01 02:00:00,2.0,2.0
10 Ave & W 14 St,2022-08-01 03:00:00,0.0,1.0
10 Ave & W 14 St,2022-08-01 04:00:00,-0.0,1.0
10 Ave & W 14 St,2022-08-01 05:00:00,0.0,1.0
10 Ave & W 14 St,2022-08-01 06:00:00,1.0,3.0
10 Ave & W 14 St,2022-08-01 07:00:00,3.0,5.0
10 Ave & W 14 St,2022-08-01 08:00:00,6.0,11.0
10 Ave & W 14 St,2022-08-01 09:00:00,7.0,16.0
10 Ave & W 14 St,2022-08-01 10:00:00,6.0,13.0
10 Ave & W 14 St,2022-08-01 11:00:00,7.0,8.0
10 Ave & W 14 St,2022-08-01 12:00:00,9.0,6.0
10 Ave & W 14 St,2022-08-01 13:00:00,12.0,9.0
10 Ave & W 14 St,2022-08-01 14:00:00,11.0,9.0
10 Ave & W 14 St,2022-08-01 15:00:00,16.0,12.0
10 Ave & W 14 St,2022-08-01 16:00:00,9.0,9.0
10 Ave & W 14 St,2022-08-01 17:00:00,10.0,13.0
10 Ave & W 14 St,2022-08-01 18:00:00,26.0,17.0
10 Ave & W 14 St,2022-08-01 19:00:00,25.0,27.0
10 Ave & W 14 St,2022-08-01 20:00:00,24.0,30.0
10 Ave & W 14 St,2022-08-01 21:00:00,22.0,17.0
10 Ave & W 14 St,2022-08-01 22:00:00,16.0,7.0
10 Ave & W 14 St,2022-08-01 23:00:00,8.0,3.0
10 Ave & W 14 St,2022-08-02 00:00:00,5.0,2.0
10 Ave & W 14 St,2022-08-02 01:00:00,1.0,1.0
10 Ave & W 14 St,2022-08-02 02:00:00,1.0,1.0
10 Ave & W 14 St,2022-08-02 03:00:00,2.0,2.0
10 Ave & W 14 St,2022-08-02 04:00:00,3.0,3.0
10 Ave & W 14 St,2022-08-02 05:00:00,2.0,3.0
10 Ave & W 14 St,2022-08-02 06:00:00,2.0,5.0
10 Ave & W 14 St,2022-08-02 07:00:00,7.0,10.0
10 Ave & W 14 St,2022-08-02 08:00:00,11.0,19.0
10 Ave & W 14 St,2022-08-02 09:00:00,9.0,20.0
10 Ave & W 14 St,2022-08-02 10:00:00,7.0,9.0
10 Ave & W 14 St,2022-08-02 11:00:00,12.0,13.0
10 Ave & W 14 St,2022-08-02 12:00:00,12.0,11.0
10 Ave & W 14 St,2022-08-02 13:00:00,15.0,13.0
10 Ave & W 14 St,2022-08-02 14:00:00,18.0,13.0
10 Ave & W 14 St,2022-08-02 15:00:00,21.0,22.0
10 Ave & W 14 St,2022-08-02 16:00:00,20.0,24.0
10 Ave & W 14 St,2022-08-02 17:00:00,28.0,29.0
10 Ave & W 14 St,2022-08-02 18:00:00,43.0,38.0
10 Ave & W 14 St,2022-08-02 19:00:00,40.0,40.0
10 Ave & W 14 St,2022-08-02 20:00:00,35.0,40.0
10 Ave & W 14 St,2022-08-02 21:00:00,31.0,23.0
10 Ave & W 14 St,2022-08-02 22:00:00,22.0,10.0
10 Ave & W 14 St,2022-08-02 23:00:00,11.0,8.0
10 Ave & W 14 St,2022-08-03 00:00:00,7.0,4.0
10 Ave & W 14 St,2022-08-03 01:00:00,3.0,3.0
10 Ave & W 14 St,2022-08-03 02:00:00,2.0,2.0
10 Ave & W 14 St,2022-08-03 03:00:00,4.0,2.0
10 Ave & W 14 St,2022-08-03 04:00:00,3.0,2.0
10 Ave & W 14 St,2022-08-03 05:00:00,1.0,3.0
10 Ave & W 14 St,2022-08-03 06:00:00,2.0,6.0
10 Ave & W 14 St,2022-08-03 07:00:00,3.0,7.0
10 Ave & W 14 St,2022-08-03 08:00:00,7.0,17.0
10 Ave & W 14 St,2022-08-03 09:00:00,8.0,20.0
10 Ave & W 14 St,2022-08-03 10:00:00,7.0,11.0
10 Ave & W 14 St,2022-08-03 11:00:00,5.0,5.0
10 Ave & W 14 St,2022-08-03 12:00:00,9.0,9.0
10 Ave & W 14 St,2022-08-03 13:00:00,17.0,19.0
10 Ave & W 14 St,2022-08-03 14:00:00,15.0,15.0
