Player,MainPosition,AlternativePosition,Team,Opp,Salary,PredictedFantasyPoints,Points/Salary Ratio
Trevor Booker,PF,C,PHI,NYK,4200,16.55029551,3.940546551
Terry Rozier,PG,SG,BOS,WAS,4100,16.38879885,3.997268013
Jeff Green,SF,PF,CLE,GSW,4100,16.51768431,4.02870349
J.R. Smith,SG,SF,CLE,GSW,4000,19.70331321,4.925828302
T.J. McConnell,PG,,PHI,NYK,4000,15.15626203,3.789065506
Kyle O'Quinn,PF,C,NYK,PHI,3900,17.77364229,4.557344177
Frank Ntilikina,PG,SG,NYK,PHI,3900,16.19950376,4.153718912
Andre Iguodala,SG,SF,GSW,CLE,3900,18.77687792,4.814584081
Jamal Crawford,SG,,MIN,LAL,3900,17.08064363,4.379652213
Jerryd Bayless,PG,SG,PHI,NYK,3800,12.6930823,3.340284815
Nene,C,,HOU,OKC,3800,15.65764836,4.120433778
Jose Calderon,PG,,CLE,GSW,3800,23.81271783,6.266504693
Tomas Satoransky,PG,SG,WAS,BOS,3700,17.27048456,4.66769853
Doug McDermott,SF,PF,NYK,PHI,3700,10.57846937,2.859045775
Jerami Grant,SF,PF,OKC,HOU,3700,11.50206796,3.108667016
Patrick McCaw,PG,SF,GSW,CLE,3700,20.80311194,5.622462687
Josh Hart,PG,SG,LAL,MIN,3700,24.26256419,6.557449781
Aron Baynes,C,,BOS,WAS,3700,19.17142009,5.181464889
Amir Johnson,PF,C,PHI,NYK,3700,17.73142117,4.792275991
Shaun Livingston,PG,SG,GSW,CLE,3600,14.11536211,3.920933918
Kyle Korver,SG,SF,CLE,GSW,3600,13.89170168,3.858806021
David West,PF,C,GSW,CLE,3500,14.90496239,4.258560683
Tristan Thompson,PF,C,CLE,GSW,3500,13.69812621,3.913750346
Corey Brewer,SG,SF,LAL,MIN,3500,15.332781,4.38079457
Jae Crowder,SF,PF,CLE,GSW,3500,18.43106333,5.266018095
Ian Mahinmi,C,,WAS,BOS,3400,13.4355526,3.951633119
Andre Roberson,SG,SF,OKC,HOU,3400,18.52292525,5.447919191
Gorgui Dieng,PF,C,MIN,LAL,3400,17.63997241,5.18822718
Tyus Jones,PG,SG,MIN,LAL,3400,11.30493609,3.324981202
Daniel Theis,PF,C,BOS,WAS,3400,18.4982086,5.440649587
Kevon Looney,SF,PF,GSW,CLE,3400,11.01529565,3.23979284
Alex Abrines,SG,SF,OKC,HOU,3300,10.29415048,3.11943954
Lance Thomas,SF,PF,NYK,PHI,3300,20.15537005,6.107687895
Ron Baker,PG,SG,NYK,PHI,3300,12.95027924,3.924327043
Nick Young,SG,,GSW,CLE,3300,11.75487823,3.562084312
Nemanja Bjelica,SF,PF,MIN,LAL,3300,8.635522458,2.616824987
Patrick Patterson,PF,C,OKC,HOU,3200,13.20063438,4.125198245
Raymond Felton,PG,SG,OKC,HOU,3100,10.37986973,3.348345073
Jodie Meeks,SG,,WAS,BOS,3100,14.51424462,4.682014394
Tyler Ennis,PG,SG,LAL,MIN,3000,7.453970254,2.484656751
Andrew Bogut,C,,LAL,MIN,3000,18.51872769,6.17290923
Alex Caruso,PG,SG,LAL,MIN,3000,6.896505928,2.298835309
Briante Weber,PG,,HOU,OKC,3000,11.74582038,3.91527346
Cedi Osman,SG,SF,CLE,GSW,3000,8.071500512,2.690500171
Josh Huestis,SF,PF,OKC,HOU,3000,10.35723894,3.452412979
Shane Larkin,PG,,WAS,BOS,3000,10.28183328,3.427277759
Marcus Georges-Hunt,SG,,MIN,LAL,3000,7.021563107,2.340521036
