ItemName,Warehouse(Region),gglAddress,gglCountry,Total
SchoolPlaykits,Africa,"Taolagnaro, Madagascar",Madagascar,218
SchoolPlaykits,Africa,"Toamasina I, Madagascar",Madagascar,65
SchoolPlaykits,Africa,"Toliara, Madagascar",Madagascar,144
ShelterToolKit,Africa,"Ambanja, Madagascar",Madagascar,225
ShelterToolKit,Africa,"Antalaha, Madagascar",Madagascar,600
ShelterToolKit,Africa,"Soanierana Ivongo, Madagascar",Madagascar,225
Sleepingmats,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,4
Tarpaulins,Africa,"Ambanja, Madagascar",Madagascar,450
Tarpaulins,Africa,"Ambositra, Madagascar",Madagascar,10
Tarpaulins,Africa,"Ambovombe, Madagascar",Madagascar,156
Tarpaulins,Africa,"Antalaha, Madagascar",Madagascar,996
Tarpaulins,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,8582
Tarpaulins,Africa,"Antsohihy, Madagascar",Madagascar,15
Tarpaulins,Africa,"Benenitra, Madagascar",Madagascar,230
Tarpaulins,Africa,"Farafangana, Madagascar",Madagascar,4
Tarpaulins,Africa,"Fenerive Est, Madagascar",Madagascar,1548
Tarpaulins,Africa,"Maevatanana, Madagascar",Madagascar,10
Tarpaulins,Africa,"Mahajanga I, Madagascar",Madagascar,689
Tarpaulins,Africa,"Maintirano, Madagascar",Madagascar,916
Tarpaulins,Africa,"Manakara, Madagascar",Madagascar,511
Tarpaulins,Africa,"Mananara, Madagascar",Madagascar,115
Tarpaulins,Africa,"Miarinarivo, Madagascar",Madagascar,72
Tarpaulins,Africa,"Morondava, Madagascar",Madagascar,50
Tarpaulins,Africa,"Sainte-Marie, Madagascar",Madagascar,5
Tarpaulins,Africa,"Soanierana Ivongo, Madagascar",Madagascar,450
Tarpaulins,Africa,"Taolagnaro, Madagascar",Madagascar,200
Tarpaulins,Africa,"Toamasina I, Madagascar",Madagascar,1200
Tarpaulins,Africa,"Toliara, Madagascar",Madagascar,821
Tents,Africa,"Ambovombe, Madagascar",Madagascar,7
Tents,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,204
Tents,Africa,"Fenerive Est, Madagascar",Madagascar,8
Tents,Africa,"Mahajanga I, Madagascar",Madagascar,1
Tents,Africa,"Maintirano, Madagascar",Madagascar,9
Tents,Africa,"Manakara, Madagascar",Madagascar,13
Tents,Africa,"Mananara, Madagascar",Madagascar,4
Tents,Africa,"Maroantsetra, Madagascar",Madagascar,2
Tents,Africa,"Taolagnaro, Madagascar",Madagascar,14
Tents,Africa,"Toamasina I, Madagascar",Madagascar,17
Tents,Africa,"Toliara, Madagascar",Madagascar,6
WaterContainers,Africa,"Ambanja, Madagascar",Madagascar,375
WaterContainers,Africa,"Ambatondrazaka, Madagascar",Madagascar,943
WaterContainers,Africa,"Antalaha, Madagascar",Madagascar,1000
WaterContainers,Africa,"Antananarivo Renivohitra, Madagascar",Madagascar,10100
WaterContainers,Africa,"Antsohihy, Madagascar",Madagascar,2250
WaterContainers,Africa,"Fenerive Est, Madagascar",Madagascar,2600
WaterContainers,Africa,"Mahajanga I, Madagascar",Madagascar,150
WaterContainers,Africa,"Manakara, Madagascar",Madagascar,3200
WaterContainers,Africa,"Maroantsetra, Madagascar",Madagascar,595
WaterContainers,Africa,"Midongy, Madagascar",Madagascar,3967
WaterContainers,Africa,"Morondava, Madagascar",Madagascar,77
WaterContainers,Africa,"Sainte-Marie, Madagascar",Madagascar,900
WaterContainers,Africa,"Soanierana Ivongo, Madagascar",Madagascar,375
WaterContainers,Africa,"Toamasina I, Madagascar",Madagascar,118
WaterContainers,Africa,"Toliara, Madagascar",Madagascar,1200
WaterContainers,Africa,"Vangaindrano, Madagascar",Madagascar,3476
