PNAME,PLFUELCT,LAT,LON,ORIS,NUMGEN,Label,PLPRMFL,NAMEPCAP
Dublin Mill,COAL,32.5036,-82.8443,54004,2,7,BIT,82.1
Georgia Pacific Cedar Springs,BIOMASS,31.166,-85.0951,54101,2,7,BLQ,101.2
Naval Submarine Base Kings Bay,OIL,30.7917,-81.5333,54239,12,7,DFO,30
Avondale Mills,HYDRO,33.4883,-81.9925,54322,3,9,WAT,2.1
International Paper Augusta Mill,BIOMASS,33.3217,-81.9564,54358,3,6,BLQ,84.7
BJ Gas Recovery,BIOMASS,33.93,-84.2378,54392,3,6,LFG,2.4
Graniteville Enterprise Division,HYDRO,33.4767,-81.9825,54462,2,9,WAT,1.2
Riverwood International Macon Mill,BIOMASS,32.7714,-83.6281,54464,4,7,BLQ,33.4
Eagle & Phenix,HYDRO,32.4608,-84.9875,54470,1,9,WAT,4.2
Hartwell Energy LP,GAS,34.3387,-82.8207,54538,2,6,NG,360
YKK USA Chestney,OIL,32.8061,-83.5456,54566,5,7,DFO,6.8
Shepherd Center,OIL,33.8111,-84.3928,54813,4,6,DFO,1.7
Riverwood 100 Building,OIL,33.8775,-84.4603,54816,1,6,DFO,1.1
Dekalb Medical Center,OIL,33.7919,-84.2831,54830,3,6,DFO,3.9
Valdosta Water Treatment Plant,OIL,30.9103,-83.2358,54839,2,7,DFO,3.4
Thiele Kaolin Sandersville,OIL,32.9708,-82.8028,54841,2,7,DFO,2.4
Sun Trust Plaza,OIL,33.7625,-84.3872,54845,2,6,DFO,2.4
South Georgia Medical Center,OIL,30.8625,-83.2894,54848,4,7,DFO,1.9
Thiele Kaolin Reedy Creek,OIL,33.2708,-82.4569,54849,2,6,DFO,2.2
Riverside Manufacturing,GAS,31.1683,-83.8025,54856,1,7,NG,1.1
Milstead,HYDRO,33.7242,-83.9736,54872,1,9,WAT,1
Kamin LLC Wrens Plant,GAS,33.2725,-82.4078,54880,7,6,NG,10.4
Mid-Georgia Cogeneration Facility,GAS,32.4853,-83.6036,55040,3,7,NG,323
Tenaska Georgia Generation Facility,GAS,33.3516,-84.9996,55061,6,6,NG,1099.2
Walton County Power LLC,GAS,33.8147,-83.6969,55128,3,6,NG,612
Heard County Power LLC,GAS,33.35706,-84.99329,55141,3,6,NG,495
Bank of America Plaza,OIL,33.7708,-84.3861,55152,2,6,DFO,3
Doyle Generating Facility,GAS,33.8376,-83.6996,55244,5,6,NG,409
West Georgia Generating,GAS,32.911,-84.3059,55267,4,7,NG,701.2
State Farm Insurance Support Center East,OIL,34.0858,-84.2353,55274,6,6,DFO,10.8
Baconton Power Plant,GAS,31.3869,-84.0819,55304,4,7,NG,240
Athens Regional Medical Center,OIL,33.9625,-83.3981,55319,6,6,DFO,4.5
Washington County,GAS,33.0917,-82.9803,55332,4,6,NG,797.6
KGen Murray I and II LLC,GAS,34.7094,-84.9182,55382,6,6,NG,1192
Effingham County Power Project,GAS,32.2792,-81.2842,55406,3,7,NG,594.3
Sandersville,GAS,33.1189,-82.8608,55672,8,6,NG,692
Wansley Combined Cycle,GAS,33.4124,-85.0344,55965,6,5,NG,1239
Bainbridge,OIL,30.9111,-84.5472,56015,2,7,DFO,80
McIntosh Combined Cycle Facility,GAS,32.3478,-81.1828,56150,6,7,NG,1376.6
DeKalb Medical Center-Hillandale,OIL,33.7036,-84.1494,56231,2,6,DFO,1.6
