dc,cust,distance,cost
DC3,C63,264.8,529.6
DC3,C64,1326.9,2653.7
DC3,C65,162.5,325.1
DC3,C66,4957.4,9914.7
DC3,C67,4886.0,9771.9
DC3,C68,4907.6,9815.2
DC4,C1,1627.9,3255.9
DC4,C2,1491.1,2982.3
DC4,C3,648.6,1297.1
DC4,C4,1625.0,3249.9
DC4,C5,709.6,1419.2
DC4,C6,300.0,600.0
DC4,C7,1154.9,2309.8
DC4,C8,131.1,262.2
DC4,C9,1286.3,2572.5
DC4,C10,1564.9,3129.8
DC4,C11,931.9,1863.7
DC4,C12,212.0,423.9
DC4,C13,541.2,1082.3
DC4,C14,732.4,1464.9
DC4,C15,1557.8,3115.5
DC4,C16,869.7,1739.4
DC4,C17,685.1,1370.1
DC4,C18,756.6,1513.2
DC4,C19,456.8,913.6
DC4,C20,338.2,676.5
DC4,C21,982.0,1964.0
DC4,C22,1115.9,2231.8
DC4,C23,1302.3,2604.6
DC4,C24,850.4,1700.8
DC4,C25,1075.5,2150.9
DC4,C26,284.6,569.1
DC4,C27,1499.7,2999.3
DC4,C28,1259.2,2518.4
DC4,C29,578.9,1157.9
DC4,C30,444.2,888.4
DC4,C31,1387.6,2775.3
DC4,C32,316.1,632.1
DC4,C33,916.9,1833.8
DC4,C34,843.5,1687.0
DC4,C35,677.8,1355.7
DC4,C36,1460.5,2920.9
DC4,C37,512.0,1024.1
DC4,C38,967.8,1935.6
DC4,C39,179.6,359.2
DC4,C40,1245.3,2490.5
DC4,C41,1420.4,2840.8
DC4,C42,847.0,1693.9
DC4,C43,1334.2,2668.5
DC4,C44,1223.7,2447.5
DC4,C45,577.0,1153.9
DC4,C46,1102.6,2205.2
DC4,C47,566.3,1132.6
DC4,C48,1121.3,2242.7
DC4,C49,496.8,993.5
DC4,C50,1688.7,3377.5
DC4,C51,1106.2,2212.4
DC4,C52,1465.6,2931.2
DC4,C53,690.4,1380.7
DC4,C54,1086.6,2173.2
DC4,C55,1169.9,2339.8
DC4,C56,776.9,1553.7
DC4,C57,401.0,802.1
DC4,C58,143.6,287.2
DC4,C59,919.0,1837.9
DC4,C60,1363.5,2727.1
DC4,C61,1440.9,2881.7
DC4,C62,535.4,1070.8
DC4,C63,725.0,1450.0
DC4,C64,785.7,1571.5
DC4,C65,654.1,1308.2
DC4,C66,4246.3,8492.7
DC4,C67,4174.7,8349.5
DC4,C68,4196.3,8392.5
